text,language,label,source,Ground Truth,Prediction
"Displasia odonto-ónico-dérmica: Es un síndrome de displasia ectodérmica de origen genético poco frecuente caracterizado por anomalías dentales (principalmente agenesia de los dientes permanentes y temporales con incisivos y caninos en forma de cono), onicodisplasia, hiperqueratosis palmoplantar, piel seca y, de forma más variable, hipotricosis y disfunción de las glándulas sudoríparas (hiper- o hipohidrosis). Síndrome odonto-ónico displasia-alopecia: El síndrome odonto-ónico-displasia-alopecia es un síndrome genético poco frecuente de displasia ectodérmica caracterizado por alopecia prácticamente total con un cabello escaso, fino, quebradizo, de crecimiento lento, cejas y pestañas finas y escasas, ausencia de vello púbico y axilar, uñas de las manos frágiles y quebradizas, uñas de los pies gruesas y quebradizas (ambas con una capa córnea subungueal), hipodoncia, microdoncia, dientes muy separados con hipoplasia del esmalte, discreta queratosis palmoplantar, manchas café con leche y anomalías de las areolas. No se han descrito nuevos casos en la literatura desde 1985. Síndrome odontotricomélico: Es una enfermedad de base genética poco frecuente caracterizada por discapacidad intelectual, retraso del crecimiento, ausencia de malformaciones de las extremidades superiores e inferiores, hipotricosis, hipoplasia ungueal, anomalías de la dentición y de los pabellones auriculares, mamilas hipoplásicas, agrandamiento de la tiroides y anomalías del metabolismo de la tirosina y/o del triptófano. También se ha descrito hipogonadismo y labio leporino. No se han confirmado nuevos casos desde 1970. Síndrome letal de onfalocele-paladar hendido: Es un síndrome dismórfico/ con múltiples anomalías congénitas poco frecuente caracterizado por la asociación de onfalocele y fisura palatina. Otros hallazgos descritos son labio leporino, úvula bífida, pie equinovaro bilateral, útero bicorne e hidrocefalia interna. El trastorno es letal en la lactancia. Síndrome orofaciodigital tipo 1: El síndrome orofaciodigital tipo 1 (OFD1) es un trastorno raro del neurodesarrollo del grupo de las ciliopatías. Es letal en varones, y en mujeres se caracteriza por anomalías variables que incluyen malformaciones externas (craneofaciales y digitales), y posible afectación del sistema nervioso central (SNC) y de las vísceras (riñones, páncreas y ovarios).",es,0,HUMAN,0,0
"Arthrogrypose congénitale multiple neurogénique: Forme d'arthrogrypose congénitale multiple caractérisée par une immobilité congénitale des membres avec raideur de plusieurs articulations et une fonte musculaire. La maladie est secondaire à une atrophie musculaire neurogène. Arthrogrypose distale type 1: Forme d'arthrogrypose caractérisée par des contractures des régions distales des mains et des pieds, en l'absence d'une maladie neurologique et/ou musculaire primaire affectant le fonctionnement des membres. Une petite bouche et une limitation de l'ouverture buccale sont les seuls signes de la dysmorphie faciale. Aucune autre anomalie n'est rapportée. Arthrogrypose avec limitation du champ oculomoteur: Syndrome de défaut du développement d'origine génétique caractérisé par de multiples contractures congénitales des membres, en l'absence de maladie neurologique et/ou musculaire primaire affectant le potentiel fonctionnel des membres, et des anomalies oculaires (ptosis, ophtalmoplégie externe et/ou strabisme). L'intelligence n'est pas affectée. Anémie de Blackfan-Diamond: L'anémie de Blackfan-Diamond (ABD), ou érythroblastopénie congénitale, se présente comme une anémie arégénérative le plus souvent macrocytaire.",fr,0,HUMAN,0,0
"Los cánceres de mama de tipo basal con mutación TP53, son extremadamente sensibles a la quimioterapia con epirubicina y citofosfamida. Sólo una mínima parte de los pacientes con cáncer de mama responden a los actuales régimenes de quimioterapia. Por ello, la identificación de marcadores pronóstico de la respuesta a un tratamiento determinado puede ser un elemento fundamental a la hora de tratar a estos pacientes. Tanto en células en cultivo como en modelos animales, la TP53 juega un papel fundamental en la regulación de la respuesta a los fármacos genotóxicos. Su activación, en respuesta a ciertas lesiones del ADN, puede derivar en apoptosis o en parada del ciclo celular. Sin embargo, los estudios realizados en el hombre no han demostrado claramente, de momento, la relación entre TP53 y la respuesta a la quimioterapia. Es bien sabido, que el pronóstico de los cánceres de mama con mutación TP53 es desfavorable pero lo que no se sabe todavía, es si es debido a una mala respuesta al tratamiento o a una mayor agresividad intrínseca de estos tumores. Hemos estudiado 80 cánceres de mama no inflamatorios tratados con quimioterapia neo- adjuvante. Uma vez realizado el diagnóstico de la biopsia quirúrgica, los pacientes recibieron una asociación de epirubicina(75mg/m2) y de cyclofosfamida (1200mg/m2) cada dos semanas hasta un total de 6 ciclos. Los cánceres de mama de tipo basal con mutación TP53 son extremadamente sensibles a la quimioterapia con epirubicina y citofosfamida. Sin embargo, solo una mínima parte de los pacientes con cáncer de mama responden a los actuales regímenes de quimioterapia. La identificación de marcadores pronóstico de la respuesta a un tratamiento determinado es un elemento fundamental en el tratamiento de estos pacientes. Tanto en células en cultivo como en modelos animales, la TP53 juega un papel fundamental en la regulación de la respuesta a los fármacos genotóxicos. Su activación, en respuesta a ciertas lesiones del ADN, puede derivar en apoptosis o en parada del ciclo celular. Sin embargo, los estudios realizados en el hombre no han demostrado claramente, de momento, la relación entre TP53 y la respuesta a la quimioterapia. El pronóstico de los cánceres de mama con mutación TP53 es desfavorable, pero lo que no se sabe todavía es si es debido a una mala respuesta al tratamiento o a una mayor agresividad intrínseca de estos tumores. Hemos estudiado 80 cánceres de mama no inflamatorios tratados con quimioterapia neoadyuvante. Después del diagnóstico de la biopsia quirúrgica, los pacientes recibieron una asociación de epirubicina (75mg/m2) y de citofosfamida (1200mg/m2) cada dos semanas hasta un total de 6 ciclos.",es,1,mistral,1,0
"Endocrine disruptor - History: The term endocrine disruptor was coined in 1991 at the Wingspread Conference Center in Wisconsin. One of the early papers on the phenomenon was by Theo Colborn in 1993. In this paper, she stated that environmental chemicals disrupt the development of the endocrine system, and that effects of exposure during development are often permanent. Although the endocrine disruption has been disputed by some, work sessions from 1992 to 1999 have generated consensus statements from scientists regarding the hazard from endocrine disruptors, particularly in wildlife and also in humans. The Endocrine Society released a scientific statement outlining mechanisms and effects of endocrine disruptors on ""male and female reproduction, breast development and cancer, prostate cancer, neuroendocrinology, thyroid, metabolism and obesity, and cardiovascular endocrinology,"" and showing how experimental and epidemiological studies converge with human clinical observations ""to implicate endocrine disruptive chemicals (EDCs) as a significant concern to public health."" The statement noted that it is difficult to show that endocrine disruptors cause human diseases, and it recommended that the precautionary principle should be followed. A concurrent statement expresses policy concerns. Endocrine disrupting compounds encompass a variety of chemical classes, including drugs, pesticides, compounds used in the plastics industry and in consumer products, industrial by-products and pollutants, heavy metals and even some naturally produced botanical chemicals. Industrial chemicals such as parabens, phenols and phthalates are also considered potent endocrine disruptors. Some are pervasive and widely dispersed in the environment and may bioaccumulate. Some are persistent organic pollutants (POPs), and can be transported long distances across national boundaries and have been found in virtually all regions of the world, and may even concentrate near the North Pole, due to weather patterns and cold conditions. Others are rapidly degraded in the environment or human body or may be present for only short periods of time. Research has also shown that endocrine disruptors can have effects that span multiple generations. Studies in animals have demonstrated that early life exposure to endocrine disruptors can lead to changes in the development of tissues and organs. It has been suggested that this is due to the impact of the chemicals on the epigenetic regulation of gene expression. Some of the earliest studies on endocrine disruptors focused on the effects of DDT and PCBs on wildlife, particularly birds and fish. More recent research has focused on the effects of chemicals such as BPA and phthalates on human health. Many of the chemicals that are known to be endocrine disruptors are widely used in consumer products. For example, BPA is used in the production of polycarbonate plastics and epoxy resins. Phthalates are used in the production of vinyl plastics and personal care products. Some endocrine disruptors have been shown to be particularly problematic for certain populations, such as pregnant women and young children. There is evidence that exposure to endocrine disruptors during these critical periods of development can have long-lasting effects on health. Endocrine disruptors can also have impacts on the environment, particularly aquatic ecosystems. Some endocrine disruptors have been shown to alter the development and function of aquatic organisms, and can even affect the composition of aquatic communities.",en,1,llama,1,1
"Maladie de Dupuytren - Causes et facteurs de risque: La cause de la maladie de Dupuytren reste toujours inconnue de nos jours. De nombreux facteurs ont été incriminés, tels que l’épilepsie, le diabète, le travail manuel, l’alcool, le tabagisme, etc. En fait, il s'agit essentiellement de corrélation, sans preuve formelle de causalité. Il est toutefois recommandé de rechercher systématiquement un diabète éventuel devant une maladie de Dupuytren. La seule chose établie avec certitude est l’existence d’un facteur génétique. Exceptionnelle chez les Asiatiques, sauf au Japon, et les Africains, la maladie de Dupuytren survient principalement chez les sujets européens (Belgique, Bosnie, etc.), surtout les Européens du Nord (en Norvège, près d'un tiers des personnes de plus de 60 ans sont touchées) ainsi qu'au Japon et chez leurs descendants, en particulier dans les pays d'émigration des Européens, bien qu'une étude statistique récente semble infirmer la théorie très répandue d'une origine Viking ou Celte de cette atteinte. De plus, au moins 10% d’entre eux ont des membres de leur famille atteints par l'affection. Mais cette notion est très souvent inconnue du patient.",fr,0,HUMAN,0,0
"Kardiomyopathie-Katarakt-Hüftwirbelsäulenerkrankung-Syndrom: Eine extrem seltene Trias von dilatativer Kardiomyopathie, praematurer Katarakt und Arthropathie der Hüfte (Hüftgelenkdegeneration) und der Wirbelsäule (irreguläre Intervertebralscheiben, Platyspondylie). Augenanomalien sind häufig das erste Symptom. Weiter Fälle wurden seit 1985 nicht mehr beschrieben. Herz-Hand-Syndrom Typ 2: Das Herz-Hand-Syndrom Typ 2 ist ein sehr seltenes Herz-Hand-Syndrom (siehe dort) und wurde bisher nur in 2 Familien beschrieben. Die Erkrankung ist gekennzeichnet durch Fehlbildungen der oberen Gliedmaßen (Brachytelephalangie Typ D, hypoplastischer Deltoid-Muskel, leichte Verkürzung der 4. und 5. Metakarpalia bei einigen Betroffenen, Fehlbildungen von Humerus, Radius, Ulna und Thenar-Knochen) und Herzrhythmusstörungen (junktionale Rhythmen und Vorhofflimmern). Kongenitaler Herzfehler-rundes Gesicht-Entwicklungsverzögerung-Syndrom: Ein sehr seltenes genetisches Syndrom, das durch kongenitale Herzfehler, ein rundes Gesicht und eine Entwicklungsverzögerung gekennzeichnet ist. Weitere Symptome können variieren und umfassen Wachstumsverzögerungen und kognitive Beeinträchtigungen. Die genaue Ursache und das Erbverhalten sind nicht vollständig geklärt. Carnosinase-Mangel: Eine seltene Stoffwechselstörung, die durch einen Mangel an dem Enzym Carnosinase verursacht wird, welches für den Abbau von Carnosin in den Nieren notwendig ist. Symptome können variieren und umfassen neurologische Auffälligkeiten und muskuläre Schwäche. Die Erkrankung wird autosomal-rezessiv vererbt und erfordert eine spezielle diätetische Behandlung. Palmoplantarkeratose - kongenitale Alopezie, autosomal-rezessiv: Eine seltene genetische Erkrankung, die sich durch eine Verdickung der Haut an Handflächen und Fußsohlen (Palmoplantarkeratose) und kongenitalen Haarausfall (Alopezie) auszeichnet. Die Erkrankung wird autosomal-rezessiv vererbt, was bedeutet, dass beide Elternteile Träger des defekten Gens sein müssen, damit die Krankheit bei ihren Kindern auftritt.",de,1,gpt4o,1,1
"Juvenile primary lateral sclerosis: A very rare motor neuron disease characterized by progressive upper motor neuron dysfunction leading to loss of the ability to walk with wheelchair dependence, and subsequently, loss of motor speech production. Perinatal lethal hypophosphatasia: A rare, genetic form of hypophosphatasia (HPP) characterized by markedly impaired bone mineralization <i>in utero</i> due to reduced activity of serum alkaline phosphatase (ALP) and causing stillbirth or respiratory failure within days of birth. Prenatal benign hypophosphatasia: A very rare form of hypophosphatasia characterized by prenatal skeletal manifestations (limb shortening and bowing) that slowly resolve spontaneously and later may develop into the moderate childhood or adult forms of the disease. Infantile hypophosphatasia: A rare, severe, genetic form of hypophosphatasia (HPP) characterized by infantile rickets without elevated serum alkaline phosphatase (ALP) activity and a wide range of clinical manifestations due to hypomineralization.",en,0,HUMAN,0,0
"Litiasis intrahepática primaria: Es una enfermedad poco frecuente del tracto biliar caracterizada por la formación de cálculos dentro de los conductos biliares intrahepáticos sin causa conocida, que conduce a estasis biliar y episodios repetidos de colangitis. La entidad es infrecuente en Occidente pero frecuente en el este de Asia. La enfermedad suele presentarse antes de los cuarenta años de edad con dolor en el hipocondrio derecho, ictericia y/o fiebre. Los cálculos son habitualmente de bilirrubinato de calcio y hay bacterias presentes en la bilis en casi todos los casos. Las complicaciones incluyen estenosis biliar, absceso hepático, fibrosis hepática y cirrosis biliar secundaria. También se ha descrito la asociación con el colangiocarcinoma. Ductopenia idiopática: Es una enfermedad poco frecuente de las vías biliares caracterizada por la pérdida de los conductos biliares interlobulillares que produce colestasis crónica sin causa conocida. La pérdida de menos del 50% de los conductos se asocia con un curso leve de la enfermedad, mientras que la pérdida de la mayoría de los conductos da lugar a una forma grave que puede derivar en cirrosis e insuficiencia hepática. La enfermedad suele debutar en jóvenes o en adultos de edad media con ictericia episódica, prurito y elevación de las enzimas hepáticas. Síndrome de Caroli: Es una enfermedad hepática genética poco frecuente caracterizada por dilataciones quísticas segmentarias múltiples de los conductos biliares centrales y periféricos más pequeños asociadas a fibrosis hepática congénita. La edad de aparición de los síntomas es variable, al igual que la progresión de la enfermedad. Los pacientes presentan colangitis, hepatolitiasis y colecistolitiasis recurrente. La hipertensión portal puede aparecer más tarde en el curso de la enfermedad y el riesgo de desarrollar colangiocarcinoma está aumentado significativamente. El síndrome se asocia a menudo con enfermedad renal poliquística autosómica recesiva. Peliosis hepática idiopática: Es una enfermedad hepática vascular poco frecuente caracterizada por dilatación quística focal o generalizada de los espacios sinusoidales hepáticos llenos de sangre sin causa conocida. Las lesiones pueden variar entre unos pocos milímetros y varios centímetros de diámetro. La afección puede permanecer asintomática o manifestarse con complicaciones, que incluyen ruptura y hemorragia intraperitoneal, hepatomegalia, hipertensión portal, colestasis e insuficiencia hepática. Linfoma de células B de alto grado con reordenamientos de MYC y BCL2 y/o BCL6: Es un linfoma no Hodgkin de células B agresivo poco frecuente caracterizado por un reordenamiento en MYC y BCL2 y/o BCL6 (llamado linfoma de doble o triple golpe). El grupo incluye casos de doble golpe con hallazgos intermedios entre el linfoma difuso de células B grandes (LDCBG) y el linfoma de Burkitt, los casos blastoides con doble golpe y los casos de LDCBG, no especificado de otra manera, de morfología con doble golpe.",es,0,HUMAN,0,0
"Kolobom des Unterlides: Das Kolobom des Unterlids ist ein seltener Entwicklungsdefekt während der Embryogenese, der durch einen ein- oder beidseitigen, partiellen oder vollflächigen, unterschiedlich großen Defekt des Unterlids gekennzeichnet ist (von einer kleinen Kerbe bis zum vollständigen Fehlen des gesamten Lids), der in der Regel eine dreieckige Form hat (mit Basis am Lidrand) und im seitlichen Drittel des Lids liegt. Er kann isoliert, in Verbindung mit einer Gesichtsspalte oder als Teil eines Syndroms auftreten. Arteriovenöse Fehlbildung des Gesichts: Eine seltene Gefäßanomalie, die durch eine abnorme Kommunikation zwischen Arterien und Venen unter Umgehung des Kapillarbettes im Gesichtsbereich gekennzeichnet ist. Die Läsionen können asymptomatisch sein oder sich mit Schmerzen, Ulzerationen, Pulsationen, Tinnitus, leichten Blutungen oder potenziell lebensbedrohlichen Blutungen, verschwommenem Sehen, Hörstörungen, Kopfschmerzen, Parästhesien, Vergrößerung der Gesichtsknochen mit intraossären Läsionen, intraossären Hämangiomen und Sprach-, Atem- und Schluckstörungen sowie Neuropathie manifestieren. Spondyloepimetaphysäre Dysplasie, MATN3-Gen-assoziierte: Eine seltene primäre Knochendysplasie, die durch Mutationen im Matrilin-3-Gen (<i>MATN3</i>; 2p24-p23) verursacht wird und gekennzeichnet ist durch frühen, dysproportionierten extremen Kleinwuchs, Verbiegung der unteren Gliedmaßen, verkürzte, verbreiterte, gedrungene Röhrenknochen mit schweren Veränderungen der Metaphysen und Epiphysen, Lendenlordose, hypoplastisches Ilium, flache ovoide Wirbelkörper und normale Hände. Situs ambiguus: Ein seltener, genetischer Entwicklungsdefekt während der Embryogenese, der durch eine teilweise spiegelbildliche Transposition von intrathorakalen und/oder intraabdominalen Organen quer zur Rechts-Links-Achse des Körpers gekennzeichnet ist. Intraorganelle Variationen und andere Fehlbildungen, wie Anomalien der Ziliarmotorik (z. B. Kartagener-Syndrom), biliäre Atresie und Herzfehler, sind häufig damit verbunden. In der Regel werden Links- (Polysplenie-Syndrom) oder Rechtsisomerie (Asplenie-Syndrom) beobachtet.",de,0,HUMAN,0,0
"Antikörper - Struktur von Antikörpern: Antikörper bestehen als Proteine aus gefalteten Aminosäureketten. Da einige Aminosäurereste davon Zuckerketten tragen, zählen Antikörper zu den Glykoproteinen. Jeder Antikörper besteht aus zwei identischen schweren Ketten (engl. heavy chains, H) und zwei identischen leichten Ketten (engl. light chains, L), die durch kovalente Disulfidbrücken zwischen den Ketten (sogenannte Zwischenketten-Disulfide) zu einer Ypsilon-förmigen Struktur miteinander verknüpft sind. Die leichten Ketten (auch: Leichtketten) bestehen aus jeweils einer variablen und einer konstanten Domäne. Bezeichnet werden diese als VL und CL. Die schweren Ketten (auch: Schwerketten) hingegen haben jeweils eine variable und drei (IgG, IgA) bzw. vier (IgM, IgE) konstante Domänen. Bezeichnet werden diese analog als VH und CH1, CH2, CH3. Die variablen Domänen einer leichten und einer schweren Kette zusammen bilden die Antigenbindungsstelle (das Paratop). Die Konstantdomäne CH2 besteht u. a. auch aus einer Kohlenhydratkette, die eine Bindungsstelle für das Komplementsystem bildet. Die Konstantdomäne CH3 ist die Bindungsstelle des Fc-Rezeptors zur Opsonierung. Die variablen Domänen bilden ihrerseits verschiedene charakteristische Paratope aus, die zusammen einen Idiotyp bilden. Die beiden Leichtketten sind je nach Organismus und Immunglobulin-Subklasse entweder vom Typ κ oder λ und bilden zusammen mit dem oberhalb der Gelenkregion (engl. hinge region, auch: Scharnierregion) liegenden Anteil der Schwerketten das antigenbindende Fragment Fab (engl. antigen-binding fragment), welches enzymatisch mit Hilfe von Papain von dem darunterliegenden kristallisierbaren Fragment Fc (engl. crystallisable fragment) abgespaltet werden kann. Die außergewöhnliche Variabilität der Antigenbindungsstellen (engl. Complementarity Determining Region, CDR) erreicht der Organismus vermittels der V(D)J-Rekombination. Papain spaltet oberhalb der Zwischenketten-Disulfidbrücken der beiden Schwerketten zueinander. Man erhält so zwei Fab-Fragmente und ein vollständiges Fragment Fc. Pepsin hingegen spaltet unterhalb der Disulfidbrücken. Die Gelenkregion bleibt zwischen beiden Fab-Fragmenten erhalten. Man nennt dieses Fragment dann F(ab)2. Pepsin und Plasmin spalten auch das Fc-Fragment zwischen der zweiten und dritten Domäne des konstanten Teils der Schwerkette.",de,0,HUMAN,0,1
